"Size | Gaussian | Gaussian with choice from column | Gaussian with full choice | Gaussian with choice from row";;;
"Hilbert matrix";;;
"40 6948.46394771731684159022 ";"40 4987.32828951595729449764 ";"40 5923.61940412205603934126 ";"40 5596.38059587794396065874"
"41 6180.19288131603661895497 ";"41 7506.29500577519411308458 ";"41 7013.67078900415071984753 ";"41 3866.32921099584973489982"
"42 6522.60549230808646825608 ";"42 7661.94230078623695590068 ";"42 16822.80431177225182182156 ";"42 104159.19026477038278244436"
"43 8352.71974296342523302883 ";"43 3624.79303913786679913756 ";"43 2919.74259744758819579147 ";"43 2732.26089530450326492428"
"44 23448.27246102889694157057 ";"44 663904.04774180985987186432 ";"44 19717.08329158699416439049 ";"44 8746.91670841300765459891"
"45 11162.17788318459861329757 ";"45 14198.72513265662200865336 ";"45 9221.09235332957177888602 ";"45 10245.09235332957177888602"
"46 16071.63476670330055640079 ";"46 6044.81413486637848109240 ";"46 28359.61631855164523585699 ";"46 24417.18294592070378712378"
"47 10022.68619529655552469194 ";"47 4425.31380470344538480276 ";"47 19902.26391816244722576812 ";"47 19915.91052994128040154465"
"48 12326.38383681438062922098 ";"48 9428.18769903117208741605 ";"48 29801.15014846862686681561 ";"48 3945.15014846862777631031"
"49 14358.37348655349342152476 ";"49 4584.64763631515597808175 ";"49 3048.61765155783723457716 ";"49 4268.29545490829968912294"
"50 9156.89107561897981213406 ";"50 3172.44579392692321562208 ";"50 18045.97826816606175270863 ";"50 17722.20641110753786051646"
"51 29779.59566870312846731395 ";"51 1483.81332268184678468970 ";"51 4904.71526609953252773266 ";"51 8990.58943985895712103229"
"52 18486.79061955343422596343 ";"52 6187.02147606342168728588 ";"52 4159.35948044218093855307 ";"52 34592.63956269465415971354"
"53 8620.22120089094278228004 ";"53 6893.19539807047476642765 ";"53 5152.44836080654022225644 ";"53 51810.72084709942282643169"
"54 5261.14859992319179582410 ";"54 41882.55183819241210585460 ";"54 5174.79983012508637330029 ";"54 11184.92851920655448338948"
"55 4572.28567032156752247829 ";"55 23102.22950153529018280096 ";"55 5035.88611204544395150151 ";"55 4330.28091518873407039791"
"56 196464.61406878224806860089 ";"56 5615.98026084340199304279 ";"56 18594.65465574276458937675 ";"56 16240.61406878224261163268"
"57 2495.35462867997330249636 ";"57 8256.64537132002624275628 ";"57 31946.43294535504173836671 ";"57 11825.00192041555419564247"
"58 32618.60486027533261221834 ";"58 3482.05435049070729291998 ";"58 12621.84739920955507841427 ";"58 7245.84739920955507841427"
"59 7327.53607515410294581670 ";"59 4586.47811739448388834717 ";"59 29995.88395273679998354055 ";"59 28962.49808894773013889790"
"60 5704.06219397674431093037 ";"60 8068.02936028317981254077 ";"60 17407.51008328586249263026 ";"60 2627.25237984920477174455"
"61 7787.84423036493535619229 ";"61 7449.08853366090352210449 ";"61 17693.43089646167572936974 ";"61 8212.82045026161722489633"
"62 1932.03528146447388280649 ";"62 21935.29281463627194170840 ";"62 44657.25343726819846779108 ";"62 6616.65393141128788556671"
"63 7478.15506911005559231853 ";"63 36625.16254006566305179149 ";"63 7307.96598963065389398253 ";"63 13820.06562539193146221805"
"64 32931.85954509668954415247 ";"64 4151.91359800282589276321 ";"64 18506.36021630389586789533 ";"64 3604569.37751156697049736977"
"65 11946.62268589372797578108 ";"65 2721.31194142499589361250 ";"65 6532.28474840535091061611 ";"65 13621.37731410627202421892"
"66 86490.98270448994298931211 ";"66 8914.26394426741899223998 ";"66 5814.71464404683320026379 ";"66 48496.71464404683501925319"
"67 9137.51010242361189739313 ";"67 3287.71975359121324800071 ";"67 106216.64456912719469983131 ";"67 376894.64610894146608188748"
"68 3206.82690090445203168201 ";"68 46955.85966889926203293726 ";"68 6782.83435943109634536086 ";"68 14499.68489912510085559916"
"69 4671.26819220337438309798 ";"69 16333.35842082712770206854 ";"69 11240.72035648148448672146 ";"69 84259.45374058534798678011"
"70 3622.07533214337900062674 ";"70 4639.83682820752073894255 ";"70 12823.90726493853435385972 ";"70 104471.90726493853435385972"
"71 12037.30917517529269389343 ";"71 16369.13825819135490746703 ";"71 18130.90398543277115095407 ";"71 23418.90398543277115095407"
"72 14911.80581136970067746006 ";"72 14668.43839680051314644516 ";"72 23897.81457130136550404131 ";"72 15716.41337208841650863178"
"73 17356.37303980457363650203 ";"73 36561.35301388304651482031 ";"73 27362.71196749001319403760 ";"73 10598.79531728979054605588"
"74 15493.35385994676289556082 ";"74 140355.53954224640619941056 ";"74 458790.60055028396891430020 ";"74 21773.06953838144909241237"
"75 24837.85527991590060992166 ";"75 3554.04551871029889298370 ";"75 14076.33204523861968482379 ";"75 11373.90814118548587430269"
"76 93846.13728286797413602471 ";"76 22034.23082928649819223210 ";"76 98227.56034294868004508317 ";"76 13691.13242908154279575683"
"77 59720.41903941166674485430 ";"77 11461.23671288100922538433 ";"77 8847.15493315977801103145 ";"77 3513.68929661702804878587"
"78 192039.36050171189708635211 ";"78 10744.93032083889920613728 ";"78 27508.80504085906068212353 ";"78 82311.28450485471694264561"
"79 21048.73292398300691274926 ";"79 4776.28667869245964539004 ";"79 18546.39714702516721445136 ";"79 28618.58301139557079295628"
"80 52504.26878590707929106429 ";"80 17586.35836435778037412092 ";"80 15913.43182149782478518318 ";"80 17255.51759519964252831414"
"81 49427.61692696791578782722 ";"81 13943.32069663112997659482 ";"81 21603.07342719988446333446 ";"81 22617.41615133239611168392"
"82 221412.92922942011500708759 ";"82 6225.63657951244931609835 ";"82 81954.17624232088564895093 ";"82 2478.36342048755068390165"
"83 7585.13125889614730112953 ";"83 704057.49711711960844695568 ";"83 30305.28676248215560917743 ";"83 5200.58682250817582826130"
"84 26253.13967167639202671126 ";"84 26217.63668649161263601854 ";"84 25540.76048463618280948140 ";"84 6130.86032832360797328874"
"85 28345.64050828555627958849 ";"85 24766.70458444333780789748 ";"85 6570.17501822401573008392 ";"85 491332.56320109247462823987"
"86 6383.24858522566410101717 ";"86 7637.48562280902933707694 ";"86 5690.67429615867968095699 ";"86 33951.21816912443318869919"
"87 22175.33199875211721519008 ";"87 37042.18264415403245948255 ";"87 13830.22236222877290856559 ";"87 23534.95963933456732775085"
"88 9763.06063601703499443829 ";"88 9122.44047381656309880782 ";"88 22674.69714356525582843460 ";"88 7586.44047381656309880782"
"89 245348.38755222427425906062 ";"89 20074.51840496366639854386 ";"89 28955.91502037640384514816 ";"89 622787.40305980271659791470"
"90 11241.79387664692148973700 ";"90 10499.29780026119988178834 ";"90 9324.52711536387323576491 ";"90 19390.46738979335350450128"
"91 25850.64855150442963349633 ";"91 12659.90147216240984562319 ";"91 23364.91587199685818632133 ";"91 31108.91587199685818632133"
"92 18068.97403629169639316387 ";"92 7566.63664074364896805491 ";"92 52098.53032721510680858046 ";"92 45237.23580686805507866666"
"93 10614.19252650541784532834 ";"93 32789.80818886021734215319 ";"93 17289.86705828731282963417 ";"93 15508.70184329929907107726"
"94 15316.54854123692348366603 ";"94 6127.48919896943880303297 ";"94 24878.55327783643951988779 ";"94 65582.72316207863332238048"
"95 5346.99933358980342745781 ";"95 7149.43993221662913128966 ";"95 15517.00066641019657254219 ";"95 1114071.22681524371728301048"
"96 17898.36805470956824137829 ";"96 6358.53417510657345701475 ";"96 25172.07733659822406480089 ";"96 37243.51441569231246830896"
"97 9754.23867183469155861530 ";"97 25539.69506977111814194359 ";"97 57509.27142732649372192100 ";"97 687665.47987655806355178356"
"98 6665.98629472310949495295 ";"98 9547.51425518817995907739 ";"98 80022.54814454659936018288 ";"98 50550.77633630613854620606"
"99 5495.91216923106094327522 ";"99 7557.34220741006629395997 ";"99 138918.62382517504738643765 ";"99 7334.62382517504647694295"
